title,src,href,chapter,time
成为克苏鲁神主,https://static.baozimh.org/cover/chengweikesulushenzhu-yijiansanlian.jpg,https://baozimh.org/manga/chengweikesulushenzhu-yijiansanlian/,第179话 降神会虽迟但到,2023-03-24 15:17:37.822671
全球诡异时代,https://static.baozimh.org/cover/quanqiuguiyishidai-heibaichayuanzhuqixiaoguai.jpg,https://baozimh.org/manga/quanqiuguiyishidai-heibaichayuanzhuqixiaoguai/,第125话 江薇复苏！,2023-03-24 15:22:22.035995
